lemma_slp1	example_slp1	example_sa	example_ru	example_work	example_passage	example_kind
jihIrzu	jihIrzavaH	jihīrṣavaḥ	похитить	03_mahabharata-aranyakaparva	3.58.11-15	translation
jihma	jihma	jihma	обман	01_mahabharata-adiparva	1.18.5-11	translation
jihmabAra	jihmabAra	jihmabāra	с отверстием на сторону	01_rigveda	116.9	translation
jihmaga	jihmaga	jihmaga	неотразимыми	03_ramayana-aranyakanda	39.25	translation
jihmagati	jihmagati	jihmagati	коварный	08_mahabharata-karnaparva	8.29.18-25	translation
jihmayoDin	jihmayoDin	jihmayodhin	нечестно сражающийся	09_mahabharata-shalyaparva	9.59.22-30	translation
jihvA	jihvayA	jihvayā	языком	01_atharvaveda	10.3	translation
jihvAgra	jihvAgra	jihvāgra	кончик языка	kama-sutra	2.3.10	translation
jihvAmUla	jihvAmUla	jihvāmūla	корня языка	01_atharvaveda	34.2	translation
jihva	jihva	jihva	языком	03_ramayana-aranyakanda	39.3	translation
jihvikA	jihvikA	jihvikā	муравьев	kama-sutra	7.2.34	translation
jijIvizA	jijIvizA	jijīviṣā	желания жить	buddhacharita	8.12	translation
jijIvizu	jijIvizu	jijīviṣu	желает прожить	manavadharmashastra	4.27	translation
jijYAsA	jijYAsA	jijñāsā	узнать	02_ramayana-ayodhyakanda	35.21	translation
jijYAsu	jijYAsuH	jijñāsuḥ	желая знать	02_ramayana-ayodhyakanda	2.23	translation
jinv	jinvaTa	jinvatha	поощряете	01_atharvaveda	5.3	translation
jit	jitA	jitā	побежденная	01_atharvaveda	24.1	translation
jitAmitra	jitAmitra	jitāmitra	победивший врагов	05_mahabharata-udyogaparva	5.17.11-17	translation
jitAri	jitAriH	jitāriḥ	враг будет повергнут	03_mahabharata-aranyakaparva	3.120.16-21	translation
jitAtman	jitAtman	jitātman	великим духом	02_ramayana-ayodhyakanda	47.11	translation
jita	jitaH	jitaḥ	обыграл	03_mahabharata-aranyakaparva	3.49.39-42	translation
jitaSrama	jitaSrama	jitaśrama	победившую усталость	05_ramayana-sundarakanda	47.11	translation
jitakASi	jitakASinA	jitakāśinā	с победным видом	03_mahabharata-aranyakaparva	3.21.10-38	translation
jitakASin	jitakASin	jitakāśin	Чувствующему себя победителем	03_ramayana-aranyakanda	49.39	translation
jitaklama	jitaklama	jitaklama	превозмогающий усталость	07_mahabharata-dronaparva	7.15.21-29	translation
jitakroDa	jitakroDa	jitakrodha	Победившего гнев	02_ramayana-ayodhyakanda	13.9	translation
jitaloka	jitaloka	jitaloka	приобретших мир	br-up	4.3.33	translation
jitamanas	jitamanasi	jitamanasi	превзошедшему	gitagovinda	2.2	commentary
jitamanyu	jitamanyu	jitamanyu	искоренивший в себе гнев	03_mahabharata-aranyakaparva	3.81.137-140	translation
jitasvarga	jitasvarga	jitasvarga	завоевавший себе небо	03_mahabharata-aranyakaparva	3.43.28-33	translation
jitendriya	jitendriya	jitendriya	победивший страсти	02_ramayana-ayodhyakanda	2.41	translation
jiti	jitim	jitim	победой	10_atharvaveda	6.16	translation
jitvan	jitvA	jitvā	Покорив	01_mahabharata-adiparva	1.1.67-72	translation
jivri	jivri	jivri	старого	01_rigveda	70.9-10	translation
jizRu	jizRu	jiṣṇu	Джишну	03_mahabharata-aranyakaparva	3.12.38-54	translation
jmAyat	jmAyantam	jmāyantam	Стремящуюся на землю	08_rigveda	68.3	translation
jman	jman	jman	земли	10_rigveda	89.11	translation
jmayA	jmayA	jmayā	по земле	07_rigveda	39.3	translation
jogU	joguvAm	joguvām	воспевающих	10_rigveda	53.6	translation
johUtra	johUtra	johūtra	Достойного призывов	01_rigveda	118.9	translation
joza	jozam	joṣam	по своему желанию	01_rigveda	77.5	translation
jozya	jozyA	joṣyā	способная утолить жажду	01_rigveda	173.8	translation
jrayas	jrayas	jrayas	поверхность	01_rigveda	95.9	translation
jrayasAna	jrayasAna	jrayasāna	широко движущихся	05_rigveda	66.5	translation
jri	jrayati	jrayati	бросается	09_rigveda	71.5	translation
ju	ju	ju	поощряют	07_rigveda	67.9	translation
jugupizu	jugupizava	jugupiṣava	станут оберегать	08_mahabharata-karnaparva	8.26.56-60	translation
jugups	jugupsan	jugupsan	неприятным	02_ramayana-ayodhyakanda	69.21	translation
jugupsA	jugupsA	jugupsā	не желает	kama-sutra	6.3.42	translation
jugupsita	jugupsita	jugupsita	ужасное	02_ramayana-ayodhyakanda	106.10	translation
jugurvaRi	jugurvaRI	jugurvaṇī	прославляющих	01_rigveda	142.8	translation
juhU	juhv	juhv	совершающие жертвы на огне	manavadharmashastra	11.37	translation
juhoti	juhoti	juhoti	приносила жертву	02_ramayana-ayodhyakanda	20.15	translation
juhurARa	juhurARa	juhurāṇa	сбивающий с пути	01_rigveda	189.1	translation
juhvAsya	juhvAsya	juhvāsya	чей рот — языки (пламени)	01_rigveda	12.6	translation
juvas	juvas	juvas	быстроту	09_rigveda	65.18	translation
juz	juzantAm	juṣantām	радуются	01_atharvaveda	15.1	translation
juzwatama	juzwatama	juṣṭatama	Самые любимые	01_rigveda	87.1	translation
juzwatara	juzwatara	juṣṭatara	Очень обрадованного	08_rigveda	96.11	translation
juzwi	juzwaya	juṣṭaya	радостями	01_rigveda	10.12	translation
jvAlA	jvAlA	jvālā	пылающим	03_ramayana-aranyakanda	38.29	translation
jvAlAjihva	jvAlAjihva	jvālājihva	языки его блистают огненным пламенем	05_mahabharata-udyogaparva	5.101.1-8	translation
jvAlAmAlin	jvAlAmAlI	jvālāmālī	окаймленный пламенем	07_mahabharata-dronaparva	7.171.1-7	translation
jvAlAmuKI	jvAlAmuKI	jvālāmukhī	Джваламукхи	devi-gita	8.6	translation
jvAla	jvAla	jvāla	пламя	03_ramayana-aranyakanda	23.11	translation
jval	jvalita	jvalita	пылающем	01_mahabharata-adiparva	1.3.184-192	translation
jvala	jvala	jvala	пылай	05_mahabharata-udyogaparva	5.131.23-29	translation
jvalana	jvalana	jvalana	огню	01_mahabharata-adiparva	1.17.18-23	translation
jvalantI	jvalantI	jvalantī	сияющая	01_mahabharata-adiparva	1.8.4-13	translation
jvalitAnana	jvalitAnanA	jvalitānanā	пылающим лицом	02_ramayana-ayodhyakanda	9.1	translation
jvalita	jvalitaM	jvalitaṃ	озарилась	05_ramayana-sundarakanda	57.53	translation
jvara	jvara	jvara	лихорадка	02_ramayana-ayodhyakanda	51.27	translation
jyA	jyA	jyā	тетивой	01_atharvaveda	1.3	translation
jyAGoza	jyAGozam	jyāghoṣam	звоном	01_ramayana-balakanda	26.6	translation
jyAkA	jyAkA	jyākā	тетивы	10_rigveda	133.1	translation
jyAkfzwi	jyAkfzwi	jyākṛṣṭi	лук натянувшей	amaru-shataka	1.1	translation
jyApASa	jyApASam	jyāpāśam	узел тетивы	04_mahabharata-virataparva	4.5.15-24	translation
jyAvAja	jyAvAja	jyāvāja	быстрого, как тетива	03_rigveda	53.24	translation
jyAyas	jyAyas	jyāyas	старшая	manavadharmashastra	2.133	translation
jyAyastva	jyAyastva	jyāyastva	великость	vedartha-samgraha_ramanuja	101	translation
jyAyizWa	jyAyizWa	jyāyiṣṭha	наилучшим	07_mahabharata-dronaparva	7.74.33-39	translation
jya	jya	jya	тетиву	megha-duta	2.10	translation
jyezWA	jyezWA	jyeṣṭhā	старшей	02_ramayana-ayodhyakanda	3.39	translation
jyezWAMSa	jyezWAMSa	jyeṣṭhāṃśa	долю старшего	manavadharmashastra	11.186	translation
jyezWAnujyezWatA	jyezWAnujyezWatA	jyeṣṭhānujyeṣṭhatā	старшинства	01_mahabharata-adiparva	1.108.1	translation
jyezWa	jyezWa	jyeṣṭha	старшему	01_mahabharata-adiparva	1.1.102-108	translation
jyezWaBAryA	jyezWaBAryA	jyeṣṭhabhāryā	старшая супруга	kama-sutra	5.1.53	translation
jyezWaGnI	jyezWaGnyA	jyeṣṭhaghnyā	под (звездой), «Убивающей старшего»	06_atharvaveda	110.2	translation
jyezWasAman	jyezWasAman	jyeṣṭhasāman	поющий джьештхасаман	manavadharmashastra	3.185	translation
jyezWasTAna	jyezWasTAna	jyeṣṭhasthāna	Джьештхастхану	03_mahabharata-aranyakaparva	3.83.55-61	translation
jyezWatA	jyezWatA	jyeṣṭhatā	старшинство	manavadharmashastra	9.126	translation
jyezWatAti	jyezWatAti	jyeṣṭhatāti	верховного владыку	05_rigveda	44.1	translation
jyezWatama	jyezWatamA	jyeṣṭhatamā	Самых лучших	06_rigveda	67.1	translation
jyezWavftti	jyezWavftti	jyeṣṭhavṛtti	ведет себя, как подобает старшему	manavadharmashastra	9.110	translation
jyezWilA	jyezWila	jyeṣṭhila	Джьештхила	03_mahabharata-aranyakaparva	3.82.114-118	translation
jyok	jyok	jyok	долго	01_atharvaveda	6.3	translation
jyotIraTA	jyotIraTa	jyotīratha	чья колесница — свет	01_rigveda	140.1	translation
jyotIrasa	jyotIrasa	jyotīrasa	из драгоценного камня джьйотираса	04_mahabharata-virataparva	4.1.19-23	translation
jyoti	jyot	jyot	Наполни светом	07_atharvaveda	17.1	translation
jyotiScakra	jyotiScakra	jyotiścakra	звёзды	devi-gita	3.25	translation
jyotika	jyotika	jyotika	Джьйотика	01_mahabharata-adiparva	1.31.5-15	translation
jyotiragra	jyotiragrA	jyotiragrā	впереди которых свет	07_rigveda	101.1	translation
jyotiranIka	jyotiranIka	jyotiranīka	светоликий	07_rigveda	35.4	translation
jyotirgaRa	jyotirgaRa	jyotirgaṇa	рой светил	manavadharmashastra	4.142	translation
jyotirleKAvalayin	jyotirleKAvalayi	jyotirlekhāvalayi	перо съ глазкомъ	megha-duta	1.44	translation
jyotirliNga	jyotirliNga	jyotirliṅga	Джьотирлинги	jabala-up	2.7	translation
jyotirmaya	jyotirmaya	jyotirmaya	звездные	raghuvamsha	15.58-62	translation
jyotis	jyotir	jyotir	свет	01_atharvaveda	9.2	translation
jyotizImant	jyotizImAnt	jyotiṣīmānt	сверкающий	18_atharvaveda	4.14	translation
jyotiza	jyotiza	jyotiṣa	Джьотишу	01_ramayana-balakanda	28.6	translation
jyotizka	jyotizka	jyotiṣka	Джьйотишка	05_mahabharata-udyogaparva	5.101.9-17	translation
jyotizkaRa	jyotizkaRa	jyotiṣkaṇa	искра	raghuvamsha	15.51-53	translation
jyotizkft	jyotizkft	jyotiṣkṛt	Создающий свет	01_rigveda	50.4	translation
jyotizmant	jyotizmant	jyotiṣmant	носители света	10_rigveda	77.5	translation
jyotizmat	jyotizmatI	jyotiṣmatī	несущая свет	01_rigveda	46.6	translation
jyotizmatI	jyotizmatI	jyotiṣmatī	несущая свет	01_rigveda	46.6	translation
jyotizwoma	jyotizwoma	jyotiṣṭoma	джьотиштома	01_ramayana-balakanda	14.42	translation
jyotsnA	jyotsnAm	jyotsnām	светить	02_ramayana-ayodhyakanda	82.6	translation
jyotsnAkAlI	jyotsnAkAlI	jyotsnākālī	Джьйотснакали	05_mahabharata-udyogaparva	5.96.10-17	translation
kA	kA	kā	что	02_ramayana-ayodhyakanda	12.33	translation
kAMdiSIka	kAndiSIka	kāndiśīka	убежал	shukasaptati	64.1	translation
kAMdigBUta	kAndigBUta	kāndigbhūta	обратившееся в бегство	05_mahabharata-udyogaparva	5.47.54-60	translation
kAMsya	kAMsye	kāṃsye	латуни	manavadharmashastra	4.65	translation
kAMsyadohana	kAMsyadohana	kāṃsyadohana	с подойниками из белой меди	02_mahabharata-sabhaparva	2.49.1-9	translation
kAMsyapAtra	kAMsyapAtra	kāṃsyapātra	бронзовый сосуд	nyaya-bhashya	2.2.36	translation
kANkz	kANkzita	kāṅkṣita	желанный	01_mahabharata-adiparva	1.32.17	translation
kANkzA	kANkzayA	kāṅkṣayā	Желая	03_ramayana-aranyakanda	24.19	translation
kANkzin	kANkziRI	kāṅkṣiṇī	спокойна	02_ramayana-ayodhyakanda	24.29	translation
kANkzita	kANkzita	kāṅkṣita	желанный	01_mahabharata-adiparva	1.32.17	translation
kARa	kARa	kāṇa	одноглазого	manavadharmashastra	3.155	translation
kARqa	kARqa	kāṇḍa	сахар	02_ramayana-ayodhyakanda	91.15	translation
kARuka	kARukA	kāṇukā	кāṇukā	08_rigveda	77.4	translation
kARvAyana	kARvAyana	kāṇvāyana	потомки Канвы	08_rigveda	55.4	translation
kARvIputra	kARvIputra	kāṇvīputra	сына Канви	br-up	6.5.1	translation
kARva	kARvasya	kāṇvasya	Канвы	08_rigveda	1.8	translation
kARvya	kARvya	kāṇvya	потомка Канвы	08_rigveda	7.19	translation
kAS	cakASire	cakāśire	Сияли (были прекрасны)	05_ramayana-sundarakanda	1.81	translation
kASA	kASI	kāśī	Каши	01_mahabharata-adiparva	1.90.83-89	translation
kASISa	kASISa	kāśīśa	властитель Каши	09_mahabharata-shalyaparva	9.2.15-21	translation
kASIpati	kASIpati	kāśīpati	государя каши	01_ramayana-balakanda	13.23	translation
kASIrAja	kASIrAja	kāśīrāja	царь Каши	ramanuja_gitabhashya	1.5	translation
kASa	kASa	kāśa	с колючей травой	02_ramayana-ayodhyakanda	28.22	translation
kASeyI	kASeyI	kāśeyī	дочери Сарвасены, царя Каши	01_mahabharata-adiparva	1.90.33-47	translation
kASi	kASin	kāśin	хитрый	02_ramayana-ayodhyakanda	116.12	translation
kASika	kASika	kāśika	Каши	07_mahabharata-dronaparva	7.23.1-8	translation
kASikanyA	kASikanyA	kāśikanyā	дочь царя Каши	05_mahabharata-udyogaparva	5.49.31-38	translation
kASin	kASinI	kāśinī	окруженного	03_ramayana-aranyakanda	75.16	translation
kASipa	kASipam	kāśipam	хранителю Каши	01_mahabharata-adiparva	1.40.5-11	translation
kASipati	kASipati	kāśipati	царь страны Каши	01_mahabharata-adiparva	1.96.1-13	translation
kASipurI	kASipuryAm	kāśipuryām	в городе Каши	05_mahabharata-udyogaparva	5.175.15-20	translation
kASirAja	kASirAja	kāśirāja	царя Каши	kama-sutra	5.5.29	translation
kASmIrI	kASmIrI	kāśmīrī	кашмирской	04_mahabharata-virataparva	4.8.9-14	translation
kASmIra	kASmIra	kāśmīra	кункумой	devi-gita	1.38	translation
kASmIraka	kASmIraka	kāśmīraka	кашмирцев	07_mahabharata-dronaparva	7.10.10-18	translation
kASmIramaRqala	kASmIramaRqala	kāśmīramaṇḍala	край Кашмира	03_mahabharata-aranyakaparva	3.130.10-20	translation
kASmarI	kASmarI	kāśmarī	Кашмари	02_ramayana-ayodhyakanda	94.9	translation
kASmarya	kASmarya	kāśmarya	кашмари	03_mahabharata-aranyakaparva	3.61.1-5	translation
kASya	kASya	kāśya	царя Каши	01_mahabharata-adiparva	1.96.41-59	translation
kASyapI	kASyapi	kāśyapi	Кашьяпи	05_mahabharata-udyogaparva	5.99.9-16	translation
kASyapa	kASyapa	kāśyapa	Кашьяпу	01_mahabharata-adiparva	1.3.184-192	translation
kASyapeya	kASyapeya	kāśyapeya	Кашьяпея	07_mahabharata-dronaparva	7.122.45-52	commentary
kAYcI	kAYcI	kāñcī	поясов	05_ramayana-sundarakanda	6.43	translation
kAYcIguRasTAna	kAYcIguRasTAna	kāñcīguṇasthāna	пояс	kumarasambhava	1.37	translation
kAYcIpura	kAYcIpura	kāñcīpura	Каньчипур	devi-gita	8.7	commentary
kAYcanANga	kAYcanANga	kāñcanāṅga	с позолоченным корпусом	12_mahabharata-shantiparva	12.4.1-9	translation
kAYcanANgadin	kAYcanANgadin	kāñcanāṅgadin	украшенные золотыми кольцами	06_mahabharata-bhishmaparva	6.18.1-18	translation
kAYcanAkzI	kAYcanAkzI	kāñcanākṣī	Канчанакши	09_mahabharata-shalyaparva	9.37.3-10	translation
kAYcanAkza	kAYcanAkza	kāñcanākṣa	Канчанакша	09_mahabharata-shalyaparva	9.44.51-58	translation
kAYcanI	kAYcanI	kāñcanī	золотой	05_ramayana-sundarakanda	18.11	translation
kAYcana	kAYcana	kāñcana	золото	01_mahabharata-adiparva	1.1.82-90	translation
kAYcanaBUzA	kAYcanaBUzaRAm	kāñcanabhūṣaṇām	украшенную золотом	07_mahabharata-dronaparva	7.153.9-15	translation
kAYcanamaya	kAYcanamaya	kāñcanamaya	золотыми	06_mahabharata-bhishmaparva	6.78.25-35	translation
kAYcanapraBa	kAYcanapraBa	kāñcanaprabha	золотым сиянием	05_ramayana-sundarakanda	1.105	translation
kAYcanasaMniBa	kAYcanasanniBam	kāñcanasannibham	подобно злату	03_mahabharata-aranyakaparva	3.66.5-8	translation
kAYcanavarman	kAYcanavarmaRaH	kāñcanavarmaṇaḥ	Канчанавармана	05_mahabharata-udyogaparva	5.190.17-23	translation
kAbava	kAbava	kābava	кабаву	03_atharvaveda	9.3	translation
kAca	kAca	kāca	стекло	nyaya-bhashya	3.1.44	translation
kAcitkara	kAcitkaram	kācitkaram	очень действенного	10_rigveda	86.13	translation
kAdAcitkatva	kAdAcitkatva	kādācitkatva	временность	pratyabhijna-hridaya_kshemaraja	1.1.15	translation
kAdalI	kAdalI	kādalī	лани	03_ramayana-aranyakanda	43.36	translation
kAdamba	kAdambA	kādambā	кадамба	05_ramayana-sundarakanda	9.49	translation
kAdrava	kAdrava	kādrava	пурпурным	05_mahabharata-udyogaparva	5.44.18	translation
kAdraveya	kAdraveyam	kādraveyam	сына Кадру	01_mahabharata-adiparva	1.3.139-146	translation
kAhAbAha	kAhAbAha	kāhābāha	Кахабахам	09_atharvaveda	8.11	translation
kAhala	kAhala	kāhala	рога	hatha-yoga-pradipika	4.85	translation
kAkI	kAkI	kākī	Каки	03_mahabharata-aranyakaparva	3.217.8-13	translation
kAka	kAka	kāka	ворона	05_ramayana-sundarakanda	38.16	translation
kAkacaRqISvara	kAkacaRqISvara	kākacaṇḍīśvara	Какчандишвара	hatha-yoga-pradipika	1.7	translation
kAkalI	kAkalI	kākalī	голосов	gitagovinda	1.37	translation
kAkambIra	kAkambIra	kākambīra	какамбира	06_rigveda	48.17	translation
kAkapakza	kAkapakza	kākapakṣa	завитками волос на висках	01_ramayana-balakanda	50.21	translation
kAkapakzaDara	kAkapakzaDara	kākapakṣadhara	с луком в руках	01_ramayana-balakanda	22.6	translation
kAkatA	kAkatA	kākatā	ворон	manavadharmashastra	11.25	translation
kAkila	kAkilaH	kākilaḥ	вороньей	kama-sutra	2.9.38	translation
kAkola	kAkola	kākola	ворон	manavadharmashastra	5.14	translation
kAku	kAku	kāku	лепет	gitagovinda	12.15	translation
kAkud	kAkut	kākut	глотка	06_rigveda	41.2	translation
kAkudIka	kAkudIka	kākudīka	какудика	05_mahabharata-udyogaparva	5.94.35-40	translation
kAkuda	kAkuda	kākuda	глотка	01_rigveda	8.7	translation
kAkutsTa	kAkutsTam	kākutstham	потомок Какутстхи	02_ramayana-ayodhyakanda	5.2	translation
kAkzIvant	kAkzIvAn	kākṣīvān	Какшивану	03_mahabharata-aranyakaparva	3.82.89-92	translation
kAkzIvata	kAkzIvata	kākṣīvata	Какшивана	02_mahabharata-sabhaparva	2.16.22-25	translation
kAkza	kAkzeRa	kākṣeṇa	искоса	02_mahabharata-sabhaparva	2.60.35-39	translation
kAkzaseni	kAkzaseni	kākṣaseni	Какшасени	ch-up	4.3.5	translation
kAlA	kAlA	kālā	Калы	01_mahabharata-adiparva	1.59.32-34	translation
kAlAgni	kAlAgni	kālāgni	огонь в конце времен	05_ramayana-sundarakanda	38.29	translation
kAlAguru	kAlAguru	kālāguru	черного алоэ	05_ramayana-sundarakanda	29.3	translation
kAlAkANkzin	kAlAkANkzI	kālākāṅkṣī	в ожидании срока	06_mahabharata-bhishmaparva	6.114.109-112	translation
kAlAmra	kAlAmra	kālāmra	Черное Манго	06_mahabharata-bhishmaparva	6.8.12-17	translation
kAlAnala	kAlAnala	kālānala	разрушительному огню в конце юги	01_mahabharata-adiparva	1.52.18-22	translation
kAlAntaka	kAlAntaka	kālāntaka	поглотителю времени	03_ramayana-aranyakanda	3.15	translation
kAlAntara	kAlAntara	kālāntara	через некоторое время	01_mahabharata-adiparva	1.3.88-95	translation
kAlAtIta	kAlAtItaH	kālātītaḥ	асинхронный	nyaya-bhashya	1.2.9	translation
kAlAtipAta	kAlAtipAta	kālātipāta	время наступления	01_mahabharata-adiparva	1.189.1-4	translation
kAlAtyaya	kAlAtyaya	kālātyaya	потери времени	01_mahabharata-adiparva	1.7.12-25	translation
kAlAyasa	kAlAyasa	kālāyasa	железными	05_ramayana-sundarakanda	17.9	translation
kAlI	kAlIm	kālīm	непроглядная	02_ramayana-ayodhyakanda	114.2	translation
kAlIya	kAlIya	kālīya	Калия	05_mahabharata-udyogaparva	5.101.9-17	translation
kAlIyaka	kAlIyaka	kālīyaka	Калияка	01_mahabharata-adiparva	1.31.5-15	translation
kAla	kAla	kāla	время	01_mahabharata-adiparva	1.1.1-7	translation
kAlaBeda	kAlaBede	kālabhede	нарушении установленного времени	nyaya-bhashya	2.1.60	translation
kAlaDarma	kAlaDarma	kāladharma	законом времени	01_mahabharata-adiparva	1.8.14-22	translation
kAlaDarman	kAlaDarmaRA	kāladharmaṇā	дхармой Времени	14_mahabharata-ashvamedhikaparva	14.60.24-35	commentary
kAlaKaYja	kAlaKaYja	kālakhañja	калакханджей	05_mahabharata-udyogaparva	5.48.10-18	translation
kAlaSAka	kAlaSAka	kālaśāka	растение калащака	manavadharmashastra	3.272	translation
kAlaSakti	kAlaSakti	kālaśakti	дротик Смерти	07_mahabharata-dronaparva	7.108.16-22	translation
kAlaYjarA	kAlaYjara	kālañjara	Каланджара	03_mahabharata-aranyakaparva	3.83.52-54	translation
kAlaYjara	kAlaYjare	kālañjare	Каланджаре	03_mahabharata-aranyakaparva	3.85.13-17	translation
kAlacakra	kAlacakra	kālacakra	Калачакра	01_ramayana-balakanda	27.5	translation
kAlacodita	kAlacodita	kālacodita	понуждаемая роком	01_mahabharata-adiparva	1.8.14-22	translation
kAladaRqa	kAladaRqa	kāladaṇḍa	дубинку Ямы	01_ramayana-balakanda	56.2	translation
kAladantaka	kAladantaka	kāladantaka	Каладантака	01_mahabharata-adiparva	1.52.5-17	translation
kAlajYAna	kAlajYAna	kālajñāna	знание о времени	vedanga_jyotisha	1.2	translation
kAlajYa	kAlajYa	kālajña	знающими время	manavadharmashastra	7.217	translation
kAlakA	kAlakA	kālakā	Калаке	03_ramayana-aranyakanda	14.11	translation
kAlakAYja	kAlakAYja	kālakāñja	калаканджа	06_atharvaveda	80.2	translation
kAlakAkza	kAlakAkzaH	kālakākṣaḥ	Калакакша	05_mahabharata-udyogaparva	5.103.10-17	translation
kAlakAra	kAlakAra	kālakāra	Творец времени	shv-up	6.2	commentary
kAlakArita	kAlakArita	kālakārita	наступает время	manavadharmashastra	8.348	translation
kAlakUwa	kAlakUwa	kālakūṭa	калакуту	03_ramayana-aranyakanda	47.40	translation
kAlaka	kAlakA	kālakā	Калаке	03_ramayana-aranyakanda	14.11	translation
kAlakaRWa	kAlakaRWa	kālakaṇṭha	Калакантха	09_mahabharata-shalyaparva	9.44.59-65	translation
kAlakalpa	kAlakalpa	kālakalpa	смертоносные	01_mahabharata-adiparva	1.59.32-34	translation
kAlakavfkzIya	kAlakavfkzIya	kālakavṛkṣīya	Калакаврикшия	02_mahabharata-sabhaparva	2.7.14-20	translation
kAlakeya	kAlakeya	kālakeya	калакеи	03_mahabharata-aranyakaparva	3.99.1-7	translation
kAlakfta	kAlakfta	kālakṛta	продолжительности	gitarthasamgraha-abhinavagupta	8.19	translation
kAlakrama	kAlakrama	kālakrama	со временем	buddhacharita	10.26	translation
kAlakzepa	kAlakzepa	kālakṣepa	Задержишься	megha-duta	1.22	translation
kAlamUla	kAlamUlam	kālamūlam	корень во времени	01_mahabharata-adiparva	1.1.179-190	translation
kAlamahiman	kAlamahimA	kālamahimā	Время	shatakatrayam	3.41	translation
kAlameGa	kAlameGa	kālamegha	черные тучи	05_ramayana-sundarakanda	15.37	translation
kAlanemi	kAlanemi	kālanemi	Каланеми	raghuvamsha	15.36-41	commentary
kAlapASa	kAlapASa	kālapāśa	смертельной петли	05_ramayana-sundarakanda	51.35	translation
kAlapUga	kAlapUga	kālapūga	долгого времени	02_mahabharata-sabhaparva	2.33.22-25	translation
kAlapakva	kAlapakva	kālapakva	созревшую по времени	manavadharmashastra	6.17	translation
kAlaparvata	kAlaparvata	kālaparvata	горы Кала	07_mahabharata-dronaparva	7.57.27-35	translation
kAlaparyaya	kAlaparyaye	kālaparyaye	с течением времени	03_mahabharata-aranyakaparva	3.219.45-58	translation
kAlarAtrI	kAlarAtryAm	kālarātryām	ночи гибели мира	02_ramayana-ayodhyakanda	42.33	translation
kAlarAtri	kAlarAtrI	kālarātrī	Каларатри (Ночь разрушения мира)	05_ramayana-sundarakanda	51.34	translation
kAlasUrya	kAlasUrya	kālasūrya	всесокрушающих солнц	07_mahabharata-dronaparva	7.15.13-20	translation
kAlasUtra	kAlasUtra	kālasūtra	Каласутру	manavadharmashastra	3.249	translation
kAlasaMroDa	kAlasaMroDa	kālasaṃrodha	хранении в течение длительного времени	manavadharmashastra	8.143	translation
kAlasamanvita	kAlasamanvite	kālasamanvite	смерть	02_ramayana-ayodhyakanda	65.17	translation
kAlatA	kAlatA	kālatā	времени	kama-sutra	2.1.35	translation
kAlatIrTa	kAlatIrTa	kālatīrtha	Калатиртхе	03_mahabharata-aranyakaparva	3.83.6-12	translation
kAlatas	kAlataH	kālataḥ	согласно времени	kama-sutra	2.1.31	translation
kAlavAla	kAlavAla	kālavāla	черными как глина	08_mahabharata-karnaparva	8.69.26-29	translation
kAlava	kAlave	kālave	не тратя времени	shukasaptati	47.2	translation
kAlavarzin	kAlavarzin	kālavarṣin	вовремя посылать дождь	03_mahabharata-aranyakaparva	3.188.85-93	translation
kAlavat	kAlavat	kālavat	подобно богу смерти	01_mahabharata-adiparva	1.219.1-11	translation
kAlavfdDi	kAlavfdDi	kālavṛddhi	периодического процента	manavadharmashastra	8.153	translation
kAlaviBAga	kAlaviBAga	kālavibhāga	делениями	04_mahabharata-virataparva	4.47.1-8	translation
kAlavid	kAlavit	kālavit	мудрец	raghuvamsha	11.37-42	translation
kAlay	akAlayat	akālayat	свергнул	01_mahabharata-adiparva	1.112.7-18	translation
kAlayoga	kAlayogena	kālayogena	по воле судьбы	01_ramayana-balakanda	33.14	translation
kAlayogin	kAlayogin	kālayogin	в должное время	03_mahabharata-aranyakaparva	3.148.17-22	translation
kAlayukta	kAlayuktam	kālayuktam	подобающей времени	05_ramayana-sundarakanda	50.4	translation
kAlena	kAlena	kālena	время	02_ramayana-ayodhyakanda	9.34	translation
kAleya	kAleya	kāleya	калеями	03_mahabharata-aranyakaparva	3.98.2-4	translation
kAli	kAlakam	kālakam	Калаку	03_ramayana-aranyakanda	14.17	translation
kAliNgI	kAliNgIm	kāliṅgīm	дочери царя калингов	01_mahabharata-adiparva	1.90.19-30	translation
kAliNga	kAliNga	kāliṅga	калингами	06_mahabharata-bhishmaparva	6.50.15-19	translation
kAlikA	kAlikA	kālikā	вереницам журавлей	raghuvamsha	11.15-20	translation
kAlika	kAlika	kālika	своевременно	kama-sutra	6.3.4	translation
kAlin	kAlI	kālī	черных	05_ramayana-sundarakanda	17.9	translation
kAlindI	kAlindIm	kālindīm	Калинди	02_ramayana-ayodhyakanda	55.4	translation
kAliya	kAliya	kāliya	Калия	01_mahabharata-adiparva	1.31.5-15	translation
kAluzya	kAluzya	kāluṣya	грехом	gitarthasamgraha-abhinavagupta	2.48	translation
kAlya	kAlyaM	kālyaṃ	выбрав время	02_ramayana-ayodhyakanda	7.26	translation
kAlyam	kAlyaM	kālyaṃ	выбрав время	02_ramayana-ayodhyakanda	7.26	translation
kAmA	kAmA	kāmā	слово	02_ramayana-ayodhyakanda	40.4	translation
kAmAKya	kAmAKyam	kāmākhyam	Камакхья	03_mahabharata-aranyakaparva	3.80.108-115	translation
