lemma_slp1	hom	pwg_sense_id	pwg_gloss	pwg_loci	mw_sense_id	mw_gloss	apte_sense_id	apte_gloss	confidence	note
sidDi		2	sg. und pl. das Zustandekommen, Gerathen, Gelingen, glücklicher Erfolg (einer Sa	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 2,255; MEDINĪKOṢA 25; BHAGAVADGĪTĀ 18,13					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sidDi		3	das in-Ordnung-Kommen: so v. a. Beseitigung YĀJÑ. 1,270 . Verz. d. B. H. No. 933	YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und D 1,270; WEBER'S Verzeichniss der Berliner Sanskr 933; MEDINĪKOṢA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sidDi		4	das Zutheilwerden: VOP. 25,6 . BHĀG. P. 3,4,16 . 25,19	VOPADEVA'S Grammatik 25,6; BHĀGAVATAPURĀṆA 3,4,16; BHĀGAVATAPURĀṆA 25,19					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sidDi		5	glücklicher Ausgang einer Krankheit, Heilung: durch einen Arzt YĀJÑ. 1,266	YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und D 1,266					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sidDi		6	das in-Ordnung-Kommen —, Eingehen ausstehender Gelder: M. 8,47	MANU'S Gesetzbuch in der Ausg. von LOISE 8,47					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sidDi		7	persönlicher Erfolg, Erreichung eines erwünschten Ziels; Glück M. 6,42 . 7,1 . 1	MANU'S Gesetzbuch in der Ausg. von LOISE 6,42; MANU'S Gesetzbuch in der Ausg. von LOISE 7,1; MANU'S Gesetzbuch in der Ausg. von LOISE 10,62					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sidDi		8	in der Philosophie Vollkommenheit der Person und Machterlangung des Geistes über	? [Cologne Addition]; WEBER'S Indische Studien. 9,34; SĀṂKHYAKĀRIKĀ 46. fg					0.99	pilot; MW/Apte columns are inventory not sense-aligned
sidDi		9	Zaubermacht überh. (öfters in comp. mit dem Gegenstande, der die eigentliche Zau	KATHĀSARITSĀGARA 18,375. fgg; KATHĀSARITSĀGARA 20,53; KATHĀSARITSĀGARA 20, 102. fgg					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		1a	tüchtig, geschickt ( vgl. ) H. an. 3,206 . (nicht ) P. 1,1,34 . ŚATR. 14,56 . Vg	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 3,206; PĀṆINI'S acht Bücher grammatischer Regel 1,1,34; ŚATRUM̃JAYAMĀHĀTMYA 14,56	mw:89389:1	da/kziRa mf( A )n. (also ˚Ra/ , ŚBr. ) (declined as a pron. when denoting relative position [‘right’ or ‘southern’] KātyŚr. ; ĀśvGṛ. &amp;c.; cf. Pāṇ. i, 1, 34 ; vii, 1, 16 ; but not necessarily in abl. and loc. sg. m. … | right (not left), RV. ; AV. ; VS. &amp;c. ( ˚RaM parI , ‘to walk round a person with the right side towards him’, BhP. iv, 12, 25 ; ˚RaM√ kf , ‘to place any one on the right side as a mark of respect’, i , viii ) | south, southern (as being on the right side of a person looking eastward), situated to the south, turned or directed southward, AV. ; VS. &amp;c. | coming from south (wind), Suśr. ; Ragh. iv, 8 | (with AmnAya ) the southern sacred text (of the Tāntrika s), Kulārṇ. iii | straightforward, candid, sincere, pleasing, compliant, MBh. iv, 167 ; R. ; Śak. iv, 18 ; Sāh. iii, 35 ; Pratāpar. ; BrahmaP. | da/kziRa m. the right (hand or arm), RV. i , viii , x ; TS. v | the horse on the right side of the pole of a carriage, i , x ; VS. ix, 8 | Śiva | da/kziRa m. or n. the south, Nal. ix, 23 ; R. iv | da/kziRa n. the right-hand or higher doctrine of the Śākta s, Kulārṇ. ii | dakziRa [ cf. Lith. dészinê f. ‘the right hand’.]	ap90:15136:1	dakziRa a. [ dakz-inan Uṇ. 2. 50 ] | 1 Able, skilful, dexterous, competent, clever. | 2 Right ( opp. vAma ). | 3 Situated on the right side. | 4 South, southern; as in dakziRavAyu , dakziRadik . | 5 Situated to the south. | 6 Sincere, straightforward, honest, impartial. | 7 Pleasing, amiable. | 8 Courteous, civil. | 9 Compliant, submissive. | 10 Dependent. | — RaH | 1 The right hand or arm. | 2 A civil or courteous person, applied in poetic compositions to a lover who professes attachment to one mistress, while his heart has been entirely taken up by another. | 3 An epithet of Śiva or Viṣṇu. | 4 The right-hand horse of a carriage. | 5 The southern sacred fire. | — RaH, -RaM | 1 The right side. | 2 The Deccan. | — RaM The highest doctrine of the Śāktas . | Comp. | — agniH the southern fire, the sacred fire placed ( pb ) southwards; also called anvAhAryapacana q. v. | — agra a. pointing to the south. | — acalaH the southern mountain, i. e. Malaya. | — atyayaH a dweller in the south. | — apara a. southwestern. | — aBimusva a. facing the south, directed towards the south. | — ayanaM the sun's progress south of the equator, the half year in which the sun moves from the north to the south, the winter solstice. | — arDaH | 1 the right hand. | 2 the right or southern side. | — AMcAra a. | 1 honest, well-behaved. | 2 a worshipper of Śakti according to the right hand (or purer) ritual. | — ASA the south. ˚patiH | 1 an epithet of Yama. | 2 the planet Mars. | — itara a. | 1 left (as hand or foot); Ku. 4. 19. | 2 northern. | — (rA) the north. | — uttara a. turned or lying to the south and the north. ˚vfttaM the meridian line. | — paScAt ind. to the southwest. | — paScima a. southwestern. | — (mA) the southwest. | — pUrva, -prAc a. south-east. | — pUrvA, -prAcI the south-eastern quarter. | — BAgaH the southern hemisphere. | — samudraH, -sAgaraH the southern ocean. | — sTaH a charioteer.	0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		1b	recht, auf der rechten Seite befindlich; im Gegens. zu AK. 3,2,34 . H. 1466 . H.	AMARAKOṢA nach der Ausgabe von COLEBROOK 3,2,34; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1466; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		1c	südlich, im Süden befindlich, nach Süden gerichtet; f. (mit Ergänzung von ) Süde	AMARAKOṢA nach der Ausgabe von COLEBROOK 1,1,2,3; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; MEDINĪKOṢA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		1d	gerade, rechtschaffen; liebenswürdig, gefällig, zuvorkommend; = AK. 3,1,8 . TRIK	AMARAKOṢA nach der Ausgabe von COLEBROOK 3,1,8; TRIKĀṆḌAŚEṢA 3,3,131; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 376					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		1e	der südliche heilige Text, neben und , Bezeichnung eines der heiligen Texte der	? [Cologne Addition] 91,a, N. 3; ebend. 91,a,17; ebend. 91,a, 18					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		2	m. die Rechte (der rechte Arm, die rechte Hand): ṚV. 8,23,3 . 70,1 . 6 . 10,180,	ṚGVEDA. Es wird nach Maṇḍala 8,23,3; ṚGVEDA. Es wird nach Maṇḍala 8, 70,1; ṚGVEDA. Es wird nach Maṇḍala 8,23, 6					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		3	m. das Ross rechts von der Deichsel: ṚV. 1,82,5 . 10,164,2 . VS. 9,8	ṚGVEDA. Es wird nach Maṇḍala 1,82,5; ṚGVEDA. Es wird nach Maṇḍala 10,164,2; VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHI 9,8					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		4	m. oder n. die rechte Seite: H. 1295 . nach links und nach rechts R. 2,92,13 . S	HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1295; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2,92,13; NALOPĀKHYĀNA in BÖHTLINGK'S Chrestomathi 9,23					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		5a	(nämlich ) die fruchtbare ( eig. tüchtige) Milchkuh, syn. mit . befruchtende [Pa	ṚGVEDA. Es wird nach Maṇḍala 3,36,5; ṚGVEDA. Es wird nach Maṇḍala 1,125,5; PĀṆINI'S acht Bücher grammatischer Regel 7,1,39, Vārtt. 1					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		5b	eine solche Kuh ist der gewöhnliche Opferlohn; daher Bezeichnung für jeden den d	KĀTYĀYANA'S ŚRAUTASŪTRĀṆI. 26 Adhyāya. H 15,2,13; LĀṬYĀYANA'S SŪTRA zum SV. Hdschr. 8,1,2; YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S h 1,7					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		5c	Lohn überh. : ṚV. 8,21,11 . der dem Lehrer verabreichte Lohn MBH. 5,3779 . RAGH.	ṚGVEDA. Es wird nach Maṇḍala 8,21,11; MAHĀBHĀRATA 5,3779 → vulg 5.111.8; RAGHUVAṂŚA 5,20					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		5d	Darbringung, Gabe, Geschenk überh. , = TRIK. DAŚ. 2,54 . M. 3,141 . 143 . [Page3	TRIKĀṆḌAŚEṢA; DAŚARATHA'S Tod in BÖHTLINGK'S Chrestoma 2,54; MANU'S Gesetzbuch in der Ausg. von LOISE 3,141					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		5e	= H. an. VIŚVA _bei_ UJJVAL. completion of any rite, fixing or establishing any	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; ? [Cologne Addition]; ? [Cologne Addition]					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		5f	( sc. ) Süden TRIK. H. 167 . H. an. MED. ; vgl. u. 1,c. das Südland, der Dekhan	TRIKĀṆḌAŚEṢA; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 167; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
dakziRa		5g	eine Form oder Darstellung der Durgā mit hervorstehender rechter ( ) Seite WILS.	WILSON'S Wörterbuch (GILD. Bibl. 37).					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		10	Festigkeit AK. H. an. MED	AMARAKOṢA nach der Ausgabe von COLEBROOK; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; MEDINĪKOṢA	mw:23455:1	Atma/n m. (variously derived fr. an , to breathe; at , to move; vA , to blow; cf. tma/n ) the breath, RV. | the soul, principle of life and sensation, RV. ; AV. &amp;c. | the individual soul, self, abstract individual [ e.g. Atma/n ( Ved. loc. ) Datte , or karoti , ‘he places in himself’, makes his own, TS. v ; ŚBr. ; AtmanA akarot , ‘he did it himself’, Kād. ; AtmanA vi-√ yuj , ‘to lose… | essence, nature, character, peculiarity (often ifc. , e.g. karmA tman , &amp;c.), RV. x, 97, 11 , &amp;c. | the person or whole body considered as one and opposed to the separate members of the body, VS. ; ŚBr. | the body, Ragh. i, 14 ; RāmatUp. | ( ifc. ) ‘the understanding, intellect, mind’, see nazwA tman , mandA ˚ | the highest personal principle of life, Brahma ( cf. paramA tman ), AV. x, 8, 44 ; VS. xxxii, 11 ; ŚBr. xiv , &amp;c. | effort, L. | (= Dfti ) firmness, L. | the sun, L. | fire, L. | a son, L. ; | Atman [ Old Germ. ātum ; Angl.Sax. ædhm ; Mod. Germ. Athem , Odem ; Gk. ἀϋτμήν , ἀτμός (?).]	ap90:6115:1	Atman m. [ at-maniR Uṇ. 4. 152 said to be from an to breathe also] | 1 The soul, the individual soul, the breath, the principle of life and sensation; kimAtmanA yo na jiteMdriyo Bavet H. 1 ; AtmAnaM raTinaM vidDi SarIraM raTameva tu Kaṭh. (In H. 4. 87 Atman is compared to a river). | 2 Self, oneself; in this sense mostly used reflexively for all three persons and in the singular number, masculine gender, whatever be the gender or number of the noun to which it refers; anayA ciMtayAtmApi me na pratiB… | 3 Supreme deity and soul of the universe, Supreme Soul, Brahma; tasmAdvA etasmAdAtmana AkASaH saMBUtaH Up. ; U. 1. 1 ; Ms. 1. 15 , 12. 24. | 4 Essence, nature; kAvyasyAtmA DvaniH S. D. , see Atmaka below. | 5 Character, peculiarity. | 6 The natural temperament or disposition. | 7 The person or whole body (considered as one and opposed to the separate members of it); sTitaH sarvonnatenorvI krAMtvA merurivAtmanA R. 1. 14 ; yosyAtmanaH kArayitA Ms. 12. 12 ; Ki. 9. 66. | 8 Mind, intellect; maMdAtman, nazwAtman , mahAtman &amp;c. | 9 The understanding; cf. AtmasaMpanna, Atmavat &amp;c. | 10 Thinking faculty, the faculty of thought and reason. | 11 Spirit, vitality, courage. | 12 Form, image; AtmAnamADAya Ku. 3. 24 assuming his own form; 2. 61 ; saMropitepyAtmani Ś. 6. 23 myself being implanted in her. | 13 A son; AtmA vE putranAmAsi . | 14 Care, efforts, pain. | 15 The sun. | 16 Fire. | 17 Wind, air. Atman is used as the last member of comp. in the sense of ‘made or consisting of’; ( pb ) see Atmaka . The form tman is also found to be used; kftArTaM manyate tnAnaM Mb. [ cf. Gr. atmos , aitmen ] | Comp. | — aDIna a. | 1 dependent on oneself, independent. | 2 sentient. existing. | — (naH) | 1 a son. | 2 a wife's brother. | 3 the jester or vidUzaka (in dramatic literature). | — anurUpa a. worthy of oneself; Ku. 1. 18 ; R. 1. 33. | — anugamanaM personal attendance; R. 1. 88. | — apahAra . concealing oneself; kaTaM vA AtmApahAraM karoti Ś. 1. | — apahArakaH one who pretends to belong to a higher class than his own, an impostor, a pretender. | — Adizwa a. self-counselled. | — (zwaH) a treaty dictated by the party wishing it himself; H. 4. 121. | — ArAma a. | 1 striving to get knowledge (as an ascetic or yogin ), seeking spiritual knowledge; AtmArAmA vihitaratayAM nirvikalpe samADO Ve. 1. 23. | 2 self-pleased, delighted in self; Bh. 3. 93 ; cf. Bg. 5. 24. | — ASin m. a fish supposed to feed on its young, or on the weakest of its species; cf. matsyA iva janA nityaM BakzayaMtiparasparaM . Rām. | — ASraya a. dependent on oneself or on his own mind. | — (yaH) | 1 self dependence. | 2 innate idea, abstract knowledge independent of the thing to be known. | — ISvara a. self-possessed, master of self; AtmeSvarARAM na hi ja nu viGnAH samADiBedapraBavo BavaMti Ku. 3. 40. | — udayaH self-exaltation or elevation; Śi. 2. 30. | — udBava a. born or produced from oneself. | — (vaH) | 1 a son; R. 18. 12. | 2 Cupid. | 3 sorrow, pain. | — (vA) | 1 a daughter. | 2 intellect. | 3 N. of a plant ( mAzparRI .) | — upajIvit m. | 1 one who lives by his own labour; Ms. 7. 138. | 2 a day-labourer. | 3 one who lives by his wife ( Kull. on Ms. 8. 362 ). | 4 an actor, public performer. | — upanizad f. N. of an upanizad which treats of the supreme spirit. | — upama a. like oneself. | — (maH) a son. | — kAma a. | 1 loving oneself, possessed of selfconceit, proud. | 2 loving Brahma or the Supreme spirit only. | — kAryaM one's own business, private affair. | — kfta a. | 1 self-executed, done by oneself. | 2 done against one's own self. | — gata a. produced in one's mind; ˚to manoraTaH Ś. 1. | — (taM) ind. aside (to oneself) being considered to be ( pb ) spoken privately ( opp. prakASaM aloud); frequently used as a stage-direction in dramas; it is the same as syagataM which is thus defined; aSrAvyaM Kalu padv… | — gatiH f. | 1 course of the soul's existence. | 2 one's own course. ˚gatyA by one's own act. | — guptiH f. a cave, the hiding place of an animal, lair. | — grAhin a. selfish, greedy. | — GAtaH | 1 suicide. | 2 heresy. | — GAtakaH, GAtin | 1 a suicide, a self-destroyer; K. 174 ; vyApAdayet vfTAtmAnaM svayaM yo' gnyudakAdiBiH . avEDenEva mArgeRa AtmaGAtI sa ucyate .. . | 2 a heretic. | — GazaH | 1 a cock (calling out to himself). | 2 a crow. | — jaH, -janman m. | — jAtaH, praBavaH , saMBavaH | 1 a son; tamAtmajanmAnamajaM cakAra R. 5. 36 : tatyAmAtmAnurUpAyAmAtmajanmasamutmukaH R. 1. 33 ; Māl. 1 ; Ku. 6. 28. | 2 Cupid. | 3 a descendant. | — jA | 1 a daughter; vaMdyaM yugaM caraRayorjanakAtmajAyAH R. 13. 78 ; cf. nagAtmajA &amp;c. | 2 the reasoning faculty, understanding. | — jayaH | 1 one's own victory. | 2 victory over oneself, self-denial or abnegation. | — jYaH, vid m. a sage, one who knows himself. | — jYAnaM | 1 self-knowledge. | 2 spiritual knowledge, knowledge of the soul or the supreme spirit; Ms. 12. 85 , 92. | 3 true wisdom. | — tattvaM | 1 the true nature of the soul or the supreme spirit. | 2 the highest thing. ˚jYaH a sage versed in the Vedānta doctrines. | — tuzwi a. self-satisfied. ( | — zwiH f. ) self. satisfaction. | — tyAgaH | 1 self-sacrifice. | 2 suicide. | — tyAgin m. | 1 a suicide; AtmatyAgityo nASOcodakaBAjanAH Y. 3. 6. | 2 a heretic, an unbeliever. | — trARaM | 1 self-preservation. | 2 a bodyguard. | — darSaH a mirror; prasAdamAtmIyamivAtmadarSaH R. 7. 68. | — darSanaM | 1 seeing oneself. | 2 spiritual knowledge, true wisdom; Y. 3. 157 ; cf. Ms. 12. 91. | — dA a. Ved. granting one's existence or life. | — dAnaM self-sacrifice, resigning oneself | — dUzi a. Ved. corrupting the soul; self-destroying. | — devatA a tutelary deity. | — drohin a. | 1 self-tormenting, fretful. | 2 a suicide. | — niMtya a. being constantly in the heart, greatly endeared to oneself. | — niMdA self-reproach. | — nivedanaM offering oneself (as a living sacrifice to the deity). | — nizWa a. ( pb ) one who constantly seeks for spiritual knowledge. | — parAjita a. one who has lost himself ( Ved. ). | — purARaM N. of a work elucidating the Upaniṣads (consisting of 18 chapters). | — praboDaH | 1 cognition of the soul; self-consciousness. | 2 title of an upanizad . | — praBa a. self-illuminated. | — pravAdaH conversation about the supreme spirit. | — praSaMsA self-praise. | — baMDuH, -bAMDavaH | 1 one's own kinsman; AtmamAtuH svamuH putrA AtmapituH svasuH sutAH . AtmamAtulaputrASca vijYeyA hyAtmabAMDavaH Śabdak. , i. e. mother's sister's son, father's sister's son, and mother's brother's son. | 2 the soul, the self. | — boDaH | 1 spiritual knowledge. | 2 knowledge of self. | — BAvaH | 1 existence of the soul. | 2 the self proper, peculiar nature. | 3 the body. | — BU a. self-born, self-existent. | — (BUH) | — yoniH | 1 N. of Brahmā; vacasyavasite tasmin sasarja giramAtmaBUH Ku. 2. 53 , 3. 16 , 5. 81. | 2 N. of Viṣṇu. | 3 of Śiva; Ś. 7. 35. | 4 Cupid, god of love; Ku. 3. 70. | 5 a son ( | — BUH f. ) | 1 a daughter. | 2 talent, understanding. | — BUta a. | 1 self-produced; peculiar, belonging to. | 2 attached, devoted, faithful; Ms. 7. 217 ( Kull. = Atmatulya ). | — (taH) | 1 a son. | 2 Cupid. | — (tA) | 1 a daughter. | 2 talent. | — BUyaM | 1 peculiarity, own nature. | 2 Brahma. | — mAtrA a portion of the Supreme spirit. | — mAnin a. self respecting, respectable. | 2 arrogant, proud. | — mUrtiH | 1 a brother; BrAtA svamUrtirAtmanaH | 2 soul, supreme spirit. | — mUlI N. of a plant ( durAlaBA ). | — mUli n. the universe. | — yAjin | 1 sacrificing for oneself or himself. ( | — m. ) a learned man who studies his own nature and that of the soul (of others) to secure eternal felicity, one who looks upon all beings as self; sarvaBUtezu cAtmAnaM sarvaBUtAni cAtmani . samaM paSyannAtmayAjI svArAj… | — yoniH = ˚BU ( m. ) q. v. Ku. 3. 70. | — rakzA | 1 N. of a plant ( iMdravAruRIvfkza ). | 2 self-protection. | — lABaH birth, production, origin; yErAtmalABastvayA labDaH Mu. 3. 1. 5. 23 ; Ki. 3. 32 , 17. 19 , 18. 34 ; K. 239. | — loman | 1 the hair of the body. | 2 the beard. | — vaMcaka a. selfdeceiver. | — vaMcanA self-delusion; selfdeception. | — vaDaH, -vaDyA, -hatyA . suicide. | — vaSa a. depending on one's own will; Ms. 4. 159 , 160 ( pb ) | — (SaH) | 1 self-control, self-government. | 2 one's control, subjection; ˚SaM nI, ˚vaSIkf to reduce to subjection, win over. | — vaSya a. having control over self, self-possessed, self-restrained. | — vikrayaH sale of oneself or one's own liberty; Ms. 11. 60. | — vid m. | 1 a wise man, sage; as in tarati SokamAtmavit . | 2 knowing one's own self (family &amp;c.); Śi. 2. 116. | 3 N. of Śiva. | — vidyA knowledge of the soul, spiritual knowledge; Ms. 7. 43. | — vivfdDiH, -vfdDiH f. self-exaltation. | — vIra a. | 1 mighty, powerful, strong. | 2 appropriate, suitable, good for oneself (as diet &amp;c.). | 3 existent, sentient. | — (raH) | 1 a son. | 2 wife's brother. | 3 a jester (in dramas). | — vfttaM, -vfttAMtaH account of one's own self, autobiography. | — vftti a. dwelling in Ātman or soul. ( | — ttiH f. ) | 1 state of the heart; Ku. 5. 76. | 2 action as regards oneself, one's own state or circumstance; vismAyayan vismitamAtmavfttO R. 2. 33. | 3 practising one's own duties or occupation. | — SaktiH f. one's own power or ability, inherent power or effort; dEvaM nihatya kuru pOruzamAtmaSaktyA Pt. 1. 361 to the best of one's power. | 2 illusion. | — SalyA N. of a plant ( SatAvarI ). | — SlAGA, -stutiH f. self-praise, boasting, bragging. | — saMyamaH self-restraint. | — sad a. Ved. dwelling in oneself. | — saMtuzwa a. self-sufficient. | — sani a. Ved. granting the breath of life. | — sama a. worthy of oneself, equal to oneself; Ku. 3. 13. | — saMdehaH | 1 internal or personal doubt. | 2 risk of life, personal risk. | — saMBavaH , | — samudBavaH | 1 a son; cakAra nAmnA raGumAtmasaMBavaM R. 3. 21 , 11. 57 , 17. 8. | 2 Cupid, god of love. | 3 epithet of Brahmā, Viṣṇu, or Śiva. | 4 the Supreme being ( paramAtman ). | — (vA) | 1 a daughter. | 2 understanding, intellect. | — saMpanna a. | 1 self-possessed. | 2 talented, intelligent; R. 18. 18. | — sidDiH f. self-aggrandizement. | — muKa a. self-delighted. | — (KaM) the highest bliss. | — han a. | 1 one who kills his own soul (neglects its welfare &amp;c.). | 2 a suicide, self-destroyer. | 3 a heretic, unbeliever. | 4 a priest in a temple, ( pb ) a servant or attendant upon an idol. | — hananaM, -hatyA suicide. | — hita a. beneficial to oneself. | — (taM) one's own good or welfare.	0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		13	Wind H. an	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		14	Sohn ŚABDAR. _im_ ŚKDR	ŚABDARATNĀVALĪ; ŚABDAKALPADRUMA (GILD. Bibl. 371).					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		15	DHAR. _im_ ŚKDR. — In den ältern Schriften findet man das von nicht selten nach	DHARAṆĪKOṢA; ŚABDAKALPADRUMA (GILD. Bibl. 371).; KAṬHOPANIṢAD in der Bibliotheca indica. 3,12					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		16	abgekürzt so v. a. Verz. d. Oxf. H. 394,b,3	? [Cologne Addition] 394,b,3					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		2	Seele, als Princip von Leben und Empfindung, im nächsten Gegensatz zum Leibe AK.	AMARAKOṢA nach der Ausgabe von COLEBROOK 1,1,4,7; AMARAKOṢA nach der Ausgabe von COLEBROOK 1, 3,4,35; AMARAKOṢA nach der Ausgabe von COLEBROOK 1,1,4, 209					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		3	das Selbst, die eigene Person; häufig für das pron. refl. : ṚV. 9,113,1 . 10,163	ṚGVEDA. Es wird nach Maṇḍala 9,113,1; ṚGVEDA. Es wird nach Maṇḍala 10,163,5; SĀMAVEDA. Die Hymnen des SĀMA-VEDA 5,2,8,5					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		4	Wesen, Natur, Eigenthümlichkeit AK. 3,4,112 . H. 1376 . an. 2,259 . MED. n. 38 .	AMARAKOṢA nach der Ausgabe von COLEBROOK 3,4,112; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1376; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 2,259					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		5	die Person, die sich im Leib als Einheit darstellt; der Leib im Gegens. zu den G	VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHI 19,92; VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHI 19, 93; VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHI 12,4					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		6	Körper AK. 3,4,112 . H. an. 2,258 . MED. n. 39 . RAGH. 1,14 . KULL. erklärt ohne	AMARAKOṢA nach der Ausgabe von COLEBROOK 3,4,112; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 2,258; MEDINĪKOṢA 39					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		7	Verstand, Intelligenz AK. 3,4,112 . TRIK. 3,3,230 . H. an. 2,258 . MED. n. 39 .	AMARAKOṢA nach der Ausgabe von COLEBROOK 3,4,112; TRIKĀṆḌAŚEṢA 3,3,230; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 2,258					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		8	die Persönlichkeit in ausgezeichnetem Sinne, das höchste persönliche Lebensprinc	AMARAKOṢA nach der Ausgabe von COLEBROOK 3,4,112; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 2,258; MEDINĪKOṢA 39					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Atman		9	Fürsorge ( ) AK. 3,4,112 . H. an. 2,258 . MED. n. 38	AMARAKOṢA nach der Ausgabe von COLEBROOK 3,4,112; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 2,258; MEDINĪKOṢA 38					0.99	pilot; MW/Apte columns are inventory not sense-aligned
muKa		10	Mittel, = H. an. MED. vermittelst ŚAṂK. _bei_ WIND. Sancara 94	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; MEDINĪKOṢA; ŚAṂKARA (ein Scholiast des ŚĀKUNTALA) un	mw:164836:1	muKa n. ( m. g. arDarcA di ; ifc. f( A , or I ). cf. Pāṇ. iv, 1, 54 , 58 ) the mouth, face, countenance, RV. &amp;c., &amp;c. | the beak of a bird, snout or muzzle of an animal, GṛS. ; Mn. ; MBh. &amp;c. | a direction, quarter ( esp. ifc. cf. diN-m˚ ; mfn. turning or turned towards, facing, cf. aDo-m˚ ; also am , ind. , cf. prAN-muKam ); | the mouth or spout of a vessel, KātyŚr. | opening aperture, entrance into or egress out of ( gen. or comp. ), MBh. ; Kāv. &amp;c. | the mouth or embouchure (of a river), Ragh. | the fore part, front, van (of an army), TBr. ; MBh. | the upper part, head, top, tip or point of anything, VS. ; Br. ; MBh. &amp;c. (also mfn. in comp. cf. payo-m˚ ) | the edge (of an axe), Kāv. | the nipple (of a breast), Hariv. | the surface, upper side, Āryabh. , Sch. | the chief, principal, best ( ifc. = having any one or anything as chief &amp;c.), ŚBr. ; MBh. &amp;c. | introduction, commencement, beginning ( ifc. = beginning with; also -muKA di cf. the use of Adi ), Br. ; MBh. ; Kāv. &amp;c. | source, cause, occasion of ( gen. or comp. ), MBh. | a means ( ˚Kena ind. by means of), Śaṃk. | (in dram. ) the original cause or source of the action, Daśar. ; Pratāp. | (in alg. ) the first term or initial quantity of a progression, Col. | (in geom. ) the side opposite to the base, the summit, ib. | the Veda , L. | rock salt, L. | copper, L. | muKa m. Artocarpus Lacucha , L.			0.99	pilot; MW/Apte columns are inventory not sense-aligned
muKa		11	the side opposite to the base; the summit COLEBR. Alg. 72	Algebra 72; Vaikhānasadharmasūtra, VaikhDhS, 2, 9, 2; Vaikhānasadharmasūtra, VaikhDhS, 2, 9, 2					0.99	pilot; MW/Apte columns are inventory not sense-aligned
